id,word,frequency,pos
107,name,464532702,92
108,just,462836169,86
109,over,459222855,85
110,state,453104133,92
111,year,451092583,92
112,day,446236148,92
113,into,445315294,85
114,email,443949646,92
115,two,441398439,93
116,health,440416431,92
117,n,437961375,96
118,world,431934249,92
119,re,430847564,92
120,next,425903347,86
121,used,421438139,100
122,go,421086358,92
123,b,419765694,92
124,work,419483948,92
125,last,417601616,84
126,most,416210411,84
127,products,414377632,92
128,music,414028837,92
129,buy,410780176,100
130,data,406908328,92
131,make,405084642,100
132,them,403000411,95
133,should,402028056,100
134,product,399116355,100
135,system,396975018,92
136,post,392956436,100
137,her,391961061,90
138,city,390564835,92
139,t,388448018,92
140,add,387231739,100
141,policy,384401868,92
142,number,383787805,92
143,such,380725892,84
144,please,380046348,91
145,available,379644437,84
146,copyright,373906735,92
147,support,373512569,92
148,message,373081242,92
149,after,372948094,85
150,best,371852748,84
151,software,370517038,92
152,then,369928941,86
153,jan,366436194,96
154,good,365796396,96
155,video,365410017,92
156,well,362082755,91
157,d,361493758,92
158,where,360468339,86
159,info,352363058,92
160,rights,352051342,100
161,public,349286123,84
162,books,347710184,92
163,high,345413157,84
164,school,343057316,92
165,through,342373303,85
166,m,341583838,92
167,each,340892856,90
168,links,339926541,92
169,she,339171382,95
170,review,339067778,100
171,years,337841309,92
172,order,336631187,100
173,very,334923368,84
174,privacy,333272427,92
175,book,330959949,92
176,items,330505325,92
177,company,324272258,96
178,r,323534251,96
179,read,322331766,100
180,group,321842984,92
181,sex,320105999,92
182,need,319376932,100
183,many,318966441,84
184,user,316446229,92
185,said,315595259,100
186,de,314593284,96
187,does,314018806,87
188,set,313469591,100
189,under,313296421,85
190,general,311757793,96
191,research,311538382,96
192,university,311373936,96
193,january,310345867,96
194,mail,310337185,92
195,full,309929179,84
196,map,309676581,92
197,reviews,307684103,92
198,program,306686983,92
199,life,306559205,92
200,know,306100813,100
201,games,305930896,96
202,way,305515604,96
203,days,305147791,92
204,management,304201237,92
205,p,303249898,90
206,part,302729303,92
207,could,302311431,100
208,great,301487430,100
209,united,299280163,96
210,hotel,297974790,96
211,real,297674493,96
212,f,297285731,96
213,item,296534935,92
214,international,295639201,96
215,center,294319118,96
216,ebay,293178760,96
217,must,292774716,100
218,store,291308910,100
219,travel,287719294,92
220,comments,287558448,92
221,made,287353021,100
222,development,286291411,92
223,report,286237372,92
224,off,284035693,85
225,member,283858893,92
226,details,280827841,92
227,line,280009597,92
228,terms,277705910,92
229,before,277546019,85
230,hotels,275510917,92
231,did,275369513,87
232,send,274103587,100
233,right,273620358,84
234,type,272336859,92
235,because,271323986,98
236,local,270742935,84
237,those,270014141,90
238,using,269448880,100
239,results,268180843,92
240,office,266789622,92
241,education,266738068,92
242,national,266376620,84
243,car,264720374,92
244,design,264448339,92
245,take,264349801,100
246,posted,263851272,100
247,internet,263777245,92
248,address,261872866,92
249,community,261839117,92
250,within,261390908,85
251,states,260937015,96
252,area,259871557,92
253,want,258690345,100
254,phone,256643812,92
255,dvd,256530337,92
256,shipping,256521328,92
257,reserved,256443074,100
258,subject,256217838,92
259,between,255436698,85
260,forum,254478181,92
261,family,254164055,92
262,l,252900442,96
263,long,252519588,86
264,based,252405204,100
265,w,252231566,96
266,code,250245121,96
267,show,247541986,92
268,o,246429812,91
269,even,245697701,86
270,black,244690155,84
271,check,244491090,92
272,special,244311841,84
273,prices,243435728,92
274,website,242876222,92
275,index,242826246,92
276,being,242783091,87
277,women,242520455,92
278,much,242326300,84
279,sign,242290578,92
280,file,241864251,92
281,link,240402653,92
282,open,239670331,84
283,today,239271204,92
284,technology,238674296,92
285,south,238581133,96
286,case,235563000,92
287,project,235262594,92
288,same,234822585,84
289,pages,234001114,92
290,uk,232749142,96
291,version,232445953,92
292,section,232251956,92
293,own,232011723,84
294,found,232005894,100
295,sports,231864260,92
296,house,231310420,92
297,related,231127472,100
298,security,230014019,92
299,both,228648541,89
300,g,227771642,96
301,county,227567373,96
302,american,227534978,96
303,photo,227125249,96
304,game,227111505,92
305,members,226656153,92
306,power,226596368,92
307,while,226194991,98
308,care,225326739,92
309,network,225218991,92
310,down,224915894,85
311,computer,224177047,92
312,systems,223555915,92
313,three,223417394,93
314,total,222649459,84
315,place,220970235,92
316,end,220812328,92
317,following,220709925,100
318,download,220626128,92
319,h,220523502,100
320,him,219516023,95
321,without,219190105,85
322,per,218945655,85
323,access,217986984,92
324,think,217856550,100
325,north,217809513,84
326,resources,217268632,92
327,current,216987137,84
328,posts,216822128,92
329,big,216690546,84
330,media,216432510,92
331,law,216122487,92
332,control,215560453,92
333,water,215178488,92
334,history,215000515,92
335,pictures,214997918,92
336,size,214844153,100
337,art,214702696,92
338,personal,214671907,84
339,since,214302926,98
340,including,214195457,100
341,guide,213378807,96
342,shop,212793848,96
343,directory,212478717,96
344,board,212361059,96
345,location,211243333,96
346,change,210601244,96
347,white,209863729,84
348,text,208780080,92
349,small,208371878,84
350,rating,207858692,92
351,rate,207634179,92
352,government,206582673,92
353,children,206538107,92
354,during,206364495,85
355,usa,206211773,96
356,return,205629763,100
357,students,204801202,92
358,v,204486977,85
359,shopping,204104275,92
360,account,203611349,92
361,times,202950880,92
362,sites,202755734,92
363,level,202563642,100
364,digital,202346767,84
365,profile,201854745,92
366,previous,201692678,84
367,form,201395192,92
368,events,201235454,92
369,love,201063526,100
370,old,199694226,84
371,john,199642644,96
372,main,199616754,84
373,call,199608869,92
374,hours,198242904,92
375,image,197874283,96
376,department,197293325,96
377,title,196676017,92
378,description,196301245,92
379,non,196109547,96
380,k,195647953,96
381,y,195011703,92
382,insurance,193271293,92
383,another,192535750,90
384,why,192000672,86
385,shall,191963867,100
386,property,191783393,92
387,class,191087771,92
388,cd,190859046,92
389,still,190433487,86
390,money,190205072,92
391,quality,189509533,92
392,every,189325890,90
393,listing,188985252,100
394,content,188880495,92
395,country,188691168,92
396,private,187885878,84
397,little,187142519,84
398,visit,187062316,92
399,save,186091095,92
400,tools,185555874,92
401,low,184815478,84
402,reply,184777992,92
403,customer,184406888,92
404,december,183237239,96
405,compare,183202885,100
406,movies,182739567,92
407,include,182579275,100
408,college,182545426,92
409,value,182061247,96
410,article,181969355,96
411,york,181556155,96
412,man,181445531,92
413,card,181387042,92
414,jobs,181075605,92
415,provide,181040994,100
416,j,180739802,96
417,food,180144029,92
418,source,179963886,92
419,author,179813446,92
420,different,179794224,84
421,press,179652730,92
422,u,179615587,95
423,learn,179428286,100
424,sale,179224570,92
425,around,178810033,85
426,print,178250872,92
427,course,177976652,92
428,job,177706929,92
429,canada,177153952,96
430,process,176829177,92
431,teen,176301486,96
432,room,176299905,92
433,stock,176295589,92
434,training,176129154,92
435,too,176093255,86
436,credit,175916536,92
437,point,175527859,92
438,join,174297802,100
439,science,174232809,92
440,men,174058407,92
441,categories,173839008,92
442,advanced,173422161,100
443,west,173346868,84
444,sales,173244220,92
445,look,173043002,100
446,english,172371546,96
447,left,171752631,100
448,team,171687825,92
449,estate,169256248,92
450,box,169231297,92
451,conditions,168957006,92
452,select,168673045,100
453,windows,168532149,92
454,photos,167827453,96
455,gay,167587791,92
456,thread,167518537,92
457,week,167202060,92
458,category,166811948,92
459,note,166657334,100
460,live,166005029,100
461,large,165863763,84
462,gallery,165671626,92
463,table,165341452,92
464,register,164834442,92
465,however,163957176,86
466,june,163951797,96
467,october,163363054,96
468,november,163308383,96
469,market,162390150,92
470,library,162076395,92
471,really,162033390,86
472,action,162023431,92
473,start,161913408,96
474,series,161518557,92
475,model,161205740,92
476,features,160961088,100
477,air,160850401,92
478,industry,160812623,92
479,plan,160746244,92
480,human,160573748,92
481,provided,159785849,100
482,tv,159603914,92
483,yes,159595214,91
484,required,159478972,100
485,second,159343399,84
486,hot,159287179,84
487,accessories,158982297,92
488,cost,158887256,100
489,movie,158421100,92
490,forums,158410645,92
491,march,158281269,96
492,la,157960401,96
493,september,157182255,96
494,better,157079378,86
495,say,156845267,100
496,questions,156703712,92
497,july,156667525,96
498,yahoo,155733641,96
499,going,155284081,100
500,medical,155254497,84
501,test,154999587,92
502,friend,154527125,92
503,come,154326119,100
504,dec,154301106,96
505,server,153788544,96
506,pc,153460135,92
507,study,152978354,92
508,application,152776595,92
509,cart,152155277,96
510,staff,151553180,92
511,articles,151531225,92
512,san,151350397,96
513,feedback,151008079,96
514,again,150781416,86
515,play,150748333,100
516,looking,150610176,100
517,issues,150106274,92
518,april,149976767,96
519,never,149556758,86
520,users,149320234,92
521,complete,149312237,84
522,street,149130754,96
523,topic,149001702,92
524,comment,148628729,92
525,financial,148330257,84
526,things,147969893,92
527,working,147675944,100
528,against,147259825,85
529,standard,147177212,84
530,tax,146906651,92
531,person,146749448,92
532,below,145701629,85
533,mobile,145490029,92
534,less,145430147,86
535,got,145057782,100
536,blog,145041426,96
537,party,144707500,92
538,payment,144646164,92
539,equipment,144298238,92
540,login,144200144,96
541,student,143590165,92
542,let,143062438,100
543,programs,142498232,92
544,offers,142087909,100
545,legal,142048771,84
546,above,141894620,85
547,recent,141765729,84
548,park,141548802,92
549,stores,141210433,92
550,side,141155373,96
551,act,141076205,96
552,problem,141012024,92
553,red,140799532,96
554,give,140688602,100
555,memory,140479833,92
556,performance,139710600,92
557,social,139566375,96
558,q,139563801,96
559,august,139459917,96
560,quote,139242226,91
561,language,138517992,92
562,story,138433809,92
563,sell,137696613,100
564,options,137679195,92
565,experience,137134662,92
566,rates,137089538,92
567,create,137071122,100
568,key,136862835,84
569,body,136560842,92
570,young,136341684,84
571,america,136214727,96
572,important,136103455,84
573,field,135289140,92
574,few,135132664,96
575,east,135037085,96
576,paper,134939426,92
577,single,134754203,84
578,ii,133102742,96
579,age,132725767,92
580,activities,132685190,92
581,club,132428495,100
582,example,132369252,92
583,girls,132325396,92
584,additional,132187702,84
585,password,132141721,96
586,z,132095202,96
587,latest,131952173,84
588,something,131836210,95
589,road,131800620,92
590,gift,131417909,92
591,question,130644510,92
592,changes,130570251,100
593,night,130531484,92
594,ca,130326009,100
595,hard,130054708,96
596,texas,129399241,96
597,oct,129301730,96
598,pay,129198530,100
599,four,129167110,93
600,poker,129054826,92
601,status,128994593,92
602,browse,128740445,92
603,issue,128427156,92
604,range,128314924,92
605,building,128251365,96
606,seller,127768853,92
607,court,127719981,92
608,february,127704851,96
609,always,127634767,86
610,result,127425045,100
611,audio,127014703,84
612,light,126699632,92
613,write,126645151,100
614,war,126517399,92
615,nov,126461152,96
616,offer,126228968,100
617,blue,126160941,84
618,groups,125814267,92
619,al,125787543,96
620,easy,125548527,84
621,given,125542966,100
622,files,125524478,92
623,event,125515260,92
624,release,125340846,92
625,analysis,124949540,96
626,request,124620318,96
627,fax,124500817,96
628,china,124472054,96
629,making,124198695,100
630,picture,124116581,92
631,needs,123595776,92
632,possible,123311561,84
633,might,123196001,100
634,professional,123162607,100
635,yet,123160529,86
636,month,123027963,92
637,major,122592252,84
638,star,122498186,92
639,areas,121986327,92
640,future,121844371,96
641,space,121505269,96
642,committee,121345834,96
643,hand,121296661,96
644,sun,121218500,96
645,cards,121094522,100
646,problems,121087620,100
647,london,121079315,96
648,washington,120978063,96
649,meeting,120814306,96
650,rss,120548796,96
651,become,120495036,96
652,interest,120272948,92
653,i,119974321,95
654,d,119747393,100
655,child,119602514,92
656,keep,119394206,100
657,enter,119376975,100
658,california,119294962,96
659,porn,119294241,92
660,share,119150817,92
661,similar,119014988,84
662,garden,118978625,92
663,schools,118818608,92
664,million,118410414,93
665,added,118127636,100
666,reference,118106080,92
667,companies,117951402,92
668,listed,117696064,100
669,baby,117672845,92
670,learning,117451031,100
671,energy,117213565,92
672,run,117119498,100
673,delivery,116883588,92
674,net,116495721,84
675,popular,116282824,84
676,term,116097842,92
677,film,115504667,92
678,stories,115205090,92
679,put,115168234,100
680,computers,114532201,92
681,journal,114515959,96
682,reports,114452742,92
683,co,114384208,100
684,try,114025350,100
685,welcome,113841948,84
686,central,113788074,84
687,images,113756376,92
688,president,113691786,96
689,notice,113624357,100
690,god,113453183,96
691,original,113316224,84
692,head,113285624,92
693,radio,113090086,92
694,until,113067567,85
695,cell,112965658,92
696,color,112902176,92
697,self,112893718,96
698,council,112837472,96
699,away,112466751,86
700,includes,112385243,100
701,track,112197265,96
702,australia,111973466,96
703,discussion,111971865,96
704,archive,111882023,100
705,once,111397714,98
706,others,111394818,96
707,entertainment,111356320,92
708,agreement,111279626,92
709,format,111229798,92
710,least,111199035,84
711,society,111192257,92
712,months,111170350,92
713,log,111064464,100
714,safety,110732827,92
715,friends,110528740,92
716,sure,110323671,84
717,faq,110086585,100
718,trade,110051463,92
719,edition,109717836,92
720,cars,109697600,92
721,messages,109596213,100
722,marketing,109553730,92
723,tell,109528141,100
724,further,109504766,86
725,updated,109416386,100
726,association,109389038,92
727,able,109360096,84
728,having,109213691,100
729,provides,109067044,100
730,david,108389630,96
731,fun,108324565,96
732,already,108287905,86
733,green,108024858,84
734,studies,107853068,92
735,close,107839275,100
736,common,107799371,84
737,drive,107785779,92
738,specific,107589584,84
739,several,107497778,84
740,gold,107483376,92
741,feb,107215961,92
742,living,107145206,92
743,sep,107121885,96
744,collection,106978150,92
745,called,106755242,100
746,short,106466033,84
747,arts,106405208,92
748,lot,106400213,92
749,ask,106342539,100
750,display,106154969,92
751,limited,106119933,100
752,powered,106103720,84
753,solutions,105946662,92
754,means,105891641,100
755,director,105837757,96
756,daily,105642682,96
757,beach,105625616,96
758,past,105101771,85
759,natural,105014961,84
760,whether,104908310,98
761,due,104251062,84
762,et,104230315,92
763,electronics,104165769,92
764,five,103921220,93
765,upon,103906182,98
766,period,103878661,92
767,planning,103731642,92
768,database,103697915,92
769,says,103521037,100
770,official,103331913,84
771,weather,103203080,92
772,mar,103132933,96
773,land,102837602,96
774,average,102812628,96
775,done,102792861,100
776,technical,102711715,84
777,window,102698139,92
778,france,102580860,96
779,pro,102552342,96
780,region,102316998,96
781,island,102234743,96
782,record,102234090,92
783,direct,102159580,96
784,microsoft,101987691,96
785,conference,101959294,92
786,environment,101771329,92
787,records,101338951,96
788,st,101325723,96
789,district,101303808,96
790,calendar,101090970,96
791,costs,101024266,100
792,style,100907064,92
793,url,100886343,96
794,front,100868970,96
795,statement,100765188,92
796,update,100637505,92
797,parts,100502612,92
798,aug,100264634,96
799,ever,100237452,86
800,downloads,100013194,100
801,early,100012522,84
802,miles,100010833,92
803,sound,99964083,100
804,resource,99420744,92
805,present,99324182,84
806,applications,99143011,92
807,either,98839705,89
808,ago,98703772,86
809,document,98671341,92
810,word,98581698,92
811,works,98528318,100
812,material,98494166,92
813,bill,98081439,96
814,apr,98056850,96
815,written,97850837,100
816,talk,97837595,100
817,federal,97747750,84
818,hosting,97658641,92
819,rules,97649084,100
820,final,97583096,84
821,adult,97561755,92
822,tickets,97451660,92
823,thing,97258243,96
824,centre,97233632,96
825,requirements,97167128,92
826,via,97049762,85
827,cheap,96733793,84
828,nude,96602880,84
829,kids,96554164,92
830,finance,96269550,100
831,true,96242209,84
832,minutes,96020036,92
833,else,95606752,86
834,mark,95489240,100
835,third,95488543,84
836,rock,95412416,96
837,gifts,95373445,92
838,europe,95289449,96
839,reading,95132338,100
840,topics,95096787,92
841,bad,94815082,84
842,individual,94800899,84
843,tips,94730251,92
844,plus,94700371,89
845,auto,94501729,92
846,cover,94477370,92
847,usually,94159529,86
848,edit,94113765,100
849,together,94069113,86
850,videos,94036312,92
851,percent,93941472,92
852,fast,93878887,84
853,function,93807963,92
854,fact,93714361,92
855,unit,93483319,92
856,getting,93450595,100
857,global,93401669,84
858,tech,93275872,92
859,meet,93061804,100
860,far,93044306,86
861,economic,92803600,84
862,en,92709785,85
863,player,92603476,92
864,projects,92579731,100
865,lyrics,92551460,92
866,often,92456246,86
867,subscribe,92431559,100
868,submit,92151641,100
869,germany,92039679,96
870,amount,92006970,92
871,watch,92002729,92
872,included,91924001,100
873,feel,91905891,92
874,though,91559349,98
875,bank,91486135,92
876,risk,91398411,92
877,thanks,91388083,92
878,everything,91189968,95
879,deals,91156139,100
880,various,90910143,84
881,words,90854231,92
882,linux,90810423,96
883,jul,90612739,96
884,production,90554932,92
885,commercial,90535679,96
886,james,90506560,96
887,weight,90478880,96
888,town,90249265,96
889,heart,90210309,92
890,advertising,90037485,92
891,received,90010174,100
892,choose,90001988,92
893,treatment,89828494,92
894,newsletter,89826560,92
895,archives,89780234,92
896,points,89749339,96
897,knowledge,89744012,96
898,magazine,89396475,96
899,error,89324930,96
900,camera,89154690,96
901,jun,89139125,96
902,girl,89075990,92
903,currently,88770071,86
904,construction,88712797,92
905,toys,88506935,92
906,registered,88447610,100
907,clear,88332962,84
908,golf,88328938,92
909,receive,88097391,100
910,domain,87897688,92
911,methods,87882874,92
912,chapter,87829598,92
913,makes,87824220,100
914,protection,87791839,92
915,policies,87785549,92
916,loan,87661475,100
917,wide,87572240,84
918,beauty,87441704,92
919,manager,87391857,92
920,india,87139187,96
921,position,87019836,92
922,taken,86985936,100
923,sort,86808185,92
924,listings,86573186,92
925,models,86527408,92
926,michael,86395556,96
927,known,86290420,100
928,half,86255673,92
929,cases,86147277,92
930,step,85964618,96
931,engineering,85775901,96
932,florida,85617922,96
933,simple,85584600,84
934,quick,85523201,84
935,none,85333514,92
936,wireless,85326896,92
937,license,85262640,92
938,paul,85245033,96
939,friday,85241485,96
940,lake,85202530,96
941,whole,85043687,96
942,annual,84923632,84
943,published,84857974,100
944,later,84840226,84
945,basic,84808711,84
946,sony,84804638,96
947,shows,84697675,100
948,corporate,84568679,84
949,google,84556943,96
950,church,84399520,92
951,method,84333183,92
952,purchase,84317690,92
953,customers,84084764,92
954,active,84065293,84
955,response,84037810,92
956,practice,84002445,92
957,hardware,83949754,92
958,figure,83901920,92
959,materials,83845349,92
960,fire,83671730,92
961,holiday,83625620,92
962,chat,83592616,96
963,enough,83559486,86
964,designed,83444756,100
965,along,83431590,85
966,among,83216831,85
967,death,83166717,92
968,writing,83135749,92
969,speed,83094022,92
970,html,83082522,92
971,countries,83015916,92
972,loss,82807978,92
973,face,82807581,92
974,brand,82646962,92
975,discount,82515596,92
976,higher,82399410,84
977,effects,82342853,92
978,created,82222044,100
979,remember,82179578,100
980,standards,82178167,92
981,oil,82113875,92
982,bit,82024459,92
983,yellow,82021775,84
984,political,81983061,84
985,increase,81965610,92
986,advertise,81913366,92
987,kingdom,81894680,92
988,base,81652767,92
989,near,81596309,98
990,environmental,81561217,84
991,thought,81444510,92
992,stuff,81396759,92
993,french,81320471,84
994,storage,81258789,92
995,oh,81110725,91
996,japan,80821946,96
997,doing,80821333,100
998,loans,80755612,92
999,shoes,80717798,92
1000,entry,80694073,92
1001,stay,80659036,100
1002,nature,80605361,92
1003,orders,80583907,92
1004,availability,80566883,96
1005,africa,80526622,96
1006,summary,80328029,92
1007,turn,80312172,100
1008,mean,79998480,100
1009,growth,79958318,92
1010,notes,79915539,92
1011,agency,79791224,92
1012,king,79697206,96
1013,monday,79665774,96
1014,european,79633609,84
1015,activity,79615682,92
1016,copy,79579407,100
1017,although,79424420,98
1018,drug,79323162,92
1019,pics,79255339,92
1020,western,79240506,84
1021,income,79199815,92
1022,force,79172952,92
1023,cash,79105156,92
1024,employment,78992643,92
1025,overall,78967124,96
1026,bay,78843808,96
1027,river,78817488,96
1028,commission,78774169,96
1029,ad,78421168,92
1030,package,78365831,92
1031,contents,78365291,92
1032,seen,78292986,100
1033,players,78078059,92
1034,engine,78051775,100
1035,port,77914316,92
1036,album,77752808,92
1037,regional,77749471,84
1038,stop,77574804,92
1039,supplies,77515342,92
1040,started,77515175,100
1041,administration,77375075,92
1042,bar,77353032,96
1043,institute,77333335,96
1044,views,77295630,100
1045,plans,77287578,100
1046,double,77271631,84
1047,dog,77203075,92
1048,build,77183863,100
1049,screen,77079447,92
1050,exchange,77070740,92
1051,types,77038135,92
1052,soon,76855129,86
1053,sponsored,76806341,100
1054,lines,76707502,92
1055,electronic,76659163,84
1056,continue,76597151,100
1057,across,76580951,85
1058,benefits,76528079,92
1059,needed,76445684,100
1060,season,76341478,92
1061,apply,76212141,100
1062,someone,76100888,95
1063,held,75993177,100
1064,ny,75985266,96
1065,anything,75976795,95
1066,printer,75963033,92
1067,condition,75960822,92
1068,effective,75918053,96
1069,believe,75604082,96
1070,organization,75594829,96
1071,effect,75532722,92
1072,asked,75480922,100
1073,eur,75393868,96
1074,mind,75287070,96
1075,sunday,75196717,96
1076,selection,74796251,92
1077,casino,74773048,92
1078,pdf,74748656,92
1079,lost,74702459,84
1080,tour,74359141,92
1081,menu,74283471,92
1082,volume,74230978,92
1083,cross,74170036,100
1084,anyone,74160962,95
1085,mortgage,74145758,96
1086,hope,74073467,96
1087,silver,74073375,96
1088,corporation,74043644,96
1089,wish,74026748,100
1090,inside,74000589,85
1091,solution,73877124,92
1092,mature,73689002,84
1093,role,73664932,92
1094,rather,73571749,86
1095,weeks,73434482,100
1096,addition,73286694,92
1097,came,73220509,100
1098,supply,73183983,92
1099,nothing,73108213,95
1100,certain,73064522,84
1101,usr,73010727,96
1102,executive,72879426,92
1103,running,72606927,100
1104,lower,72604405,84
1105,necessary,72603888,84
1106,union,72576719,92
1107,jewelry,72553085,92
1108,according,72528782,100
1109,dc,72455943,96
1110,clothing,72427611,96
1111,mon,72285198,96
1112,com,72056920,92
1113,particular,71972425,84
1114,fine,71918906,84
1115,names,71829013,92
1116,robert,71814690,96
1117,homepage,71765763,92
1118,hour,71518871,92
1119,gas,71383598,92
1120,skills,71366336,100
1121,six,71289039,93
1122,bush,71269325,96
1123,islands,71268723,92
1124,advice,71248807,92
1125,career,71229404,92
1126,military,71013577,84
1127,rental,71006471,96
1128,decision,70957750,92
1129,leave,70912501,100
1130,british,70859771,84
1131,teens,70832130,92
1132,pre,70639535,100
1133,huge,70639358,84
1134,sat,70613606,84
1135,woman,70595127,92
1136,facilities,70551270,92
1137,zip,70427114,92
1138,bid,70420316,92
1139,kind,70277573,92
1140,sellers,70164946,92
1141,middle,70113140,96
1142,move,70082598,96
1143,cable,70033623,92
1144,opportunities,69997427,92
1145,taking,69946284,100
1146,values,69921273,92
1147,division,69889118,92
1148,coming,69843013,100
1149,tuesday,69819261,96
1150,object,69734771,92
1151,lesbian,69671201,96
1152,appropriate,69665958,84
1153,machine,69529976,92
1154,logo,69469598,96
1155,length,69444655,92
1156,actually,69395609,86
1157,nice,69315004,84
1158,score,69194446,92
1159,statistics,69189527,92
1160,client,69066566,92
1161,ok,69062618,96
1162,returns,68991999,100
1163,capital,68982994,92
1164,follow,68957421,100
1165,sample,68891129,92
1166,investment,68854520,92
1167,sent,68755779,100
1168,shown,68687814,100
1169,saturday,68648778,96
1170,christmas,68620426,96
1171,england,68606429,96
1172,culture,68569061,96
1173,band,68391647,96
1174,flash,68359455,96
1175,ms,68325439,96
1176,lead,68261971,96
1177,george,68222335,96
1178,choice,68130142,96
1179,went,68080206,100
1180,starting,68025615,100
1181,registration,67934088,92
1182,fri,67751544,96
1183,thursday,67731716,96
1184,courses,67665809,92
1185,consumer,67566273,92
1186,hi,67473261,91
1187,airport,67443436,92
1188,foreign,67421654,84
1189,artist,67415846,92
1190,outside,67398005,85
1191,furniture,67360843,92
1192,levels,67352673,92
1193,channel,67339854,96
1194,letter,67315364,92
1195,mode,67311992,92
1196,phones,67309657,96
1197,ideas,67213031,92
1198,wednesday,67191517,96
1199,structure,67128807,96
1200,fund,67102388,92
1201,summer,67052567,92
1202,allow,67029686,96
1203,degree,66895933,92
1204,contract,66811153,92
1205,button,66809477,92
1206,releases,66796198,92
1207,we,66753480,95
1208,d,66703287,100
1209,homes,66638842,92
1210,super,66632805,84
1211,male,66594716,84
1212,matter,66581052,96
1213,custom,66395121,96
1214,virginia,66297175,96
1215,almost,66249627,86
1216,took,66171358,100
1217,located,66078353,100
1218,multiple,66074142,84
1219,asian,66014490,84
1220,distribution,66007529,92
1221,editor,65921648,92
1222,inn,65904680,96
1223,industrial,65835469,96
1224,cause,65832126,98
1225,potential,65803333,96
1226,song,65747979,96
1227,cnet,65682137,96
1228,ltd,65635495,96
1229,los,65626732,96
1230,hp,65574606,96
1231,focus,65501110,96
1232,late,65473127,84
1233,fall,65459222,92
1234,featured,65453403,100
1235,idea,65407567,92
1236,rooms,65319659,92
1237,female,65312988,100
1238,responsible,65305536,84
1239,inc,65264239,96
1240,communications,65218530,96
1241,win,65173823,100
1242,associated,65139325,96
1243,thomas,65078084,96
1244,primary,65077140,84
1245,cancer,65066679,92
1246,numbers,65009731,92
1247,reason,64824987,92
1248,tool,64814116,92
1249,browser,64753514,96
1250,spring,64649558,96
1251,foundation,64600528,96
1252,answer,64596001,96
1253,voice,64542291,96
1254,eg,64504515,96
1255,friendly,64437323,84
1256,schedule,64378554,92
1257,documents,64314952,92
1258,communication,64288914,92
1259,purpose,64262881,92
1260,feature,64256803,92
1261,bed,64198152,92
1262,comes,64197954,100
1263,police,64169624,92
1264,everyone,64162886,95
1265,independent,64158347,84
1266,ip,64153502,92
1267,approach,64112042,92
1268,cameras,64090052,96
1269,brown,64046921,96
1270,physical,64008398,84
1271,operating,63947745,92
1272,hill,63831932,96
1273,maps,63828244,96
1274,medicine,63777575,92
1275,deal,63776951,96
1276,hold,63754684,100
1277,ratings,63561604,92
1278,chicago,63559754,96
1279,forms,63471922,92
1280,glass,63387982,96
1281,happy,63357901,96
1282,tue,63301836,96
1283,smith,63250401,96
1284,wanted,63234550,100
1285,developed,63168116,100
1286,thank,63116899,100
1287,safe,62994830,84
1288,unique,62949059,84
