,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
see,-0.15782492,-0.18607098,-0.15959364,0.14874943,0.025402784,-0.085163236,0.052679643,0.039688427,-0.0034045842,0.03705676,-0.12273377,0.034160864,-0.1335918,0.10308533,0.005934538,-0.057448804,0.0077601084,-0.04759262,0.021019625,0.028372474,-0.054353144,-0.004349113,-0.08609519,-0.045742687,-0.019523453,0.024725486,0.09811716,0.028610766,0.0035498778,-0.05306091,-0.1011836,-0.09423202,-0.008682908,0.07951654,0.094009206,0.083324224,0.08891841,0.23884855,0.058716055,0.041384194,-0.05048242,-0.07072541,0.06195425,0.020686239,0.010979212,0.13945426,-0.0663692,-0.07590604,0.122399904,-0.06220748,-0.03656271,-0.17321354,-0.02400598,0.09542501,-0.030539671,0.011691492,0.08068425,-0.046699103,-0.07499525,0.053264175,-0.062170062,-0.07834058,0.061366424,0.038305126,-0.07153603,-0.07381761,0.05510776,0.09853287,-0.08841038,-0.04809332,0.1361392,0.031120772,0.0031310795,-0.053602103,0.09247195,-0.0017193126,0.037278365,-0.04249899,0.06728968,-0.0806245,0.1253302,0.09861535,-0.15293778,-0.028108161,-0.045861706,0.047983095,0.009666424,0.009535998,0.032501377,0.04842947,-0.025947403,-0.03266446,-0.02223979,0.05507824,0.021755796,0.031426042,0.028666392,0.100318685,-0.11321165,0.05830045
queen,-0.05721468,0.017008346,-0.02360322,-0.07009943,-0.050540525,-0.07212079,-0.011704443,0.08897432,-0.06884837,0.03890211,-0.06968613,-0.00916407,-0.06464659,0.17242315,-0.029399289,0.00044256973,-0.12089416,-0.046426143,-0.06648354,-0.015027649,0.023485824,-0.059877265,0.074924394,-0.09505293,0.09605624,-0.062578216,-0.053491462,-0.054724194,0.05968125,0.019426303,-0.031872142,0.055552196,-0.054715015,-0.13635732,0.022769822,-0.061626066,0.21719402,-0.094092555,-0.1415537,0.08230408,0.05049956,-0.08078808,0.041948177,-0.04202974,0.0059694904,0.04206137,0.059216715,0.07986075,0.0089484425,-0.09131256,-0.06686558,-0.09777403,-0.03354644,-0.111322895,0.017027447,-0.06185509,0.117579505,0.05957481,0.09211704,0.095458604,0.10498389,-0.02383767,-0.097504646,-0.053524267,-0.054863155,0.06756058,0.107863724,-0.06552807,0.032481316,-0.0425419,0.17723425,0.043909352,-0.044610716,-0.19118848,-0.0086406395,0.095013514,-0.1306378,-0.023028089,0.09799974,0.0020110337,0.012061683,-0.016268834,-0.0016131254,0.07609148,-0.11971286,-0.007362235,-0.009814125,-0.07704583,0.023602616,-0.028299421,0.12072113,-0.106081754,-0.14537062,-0.02395978,-0.01939476,-0.007860383,0.022199621,-0.045872644,-0.017569851,-0.061433077
thought,0.15342951,0.08678396,-0.03356222,0.10005968,0.10045,-0.07348254,0.09257417,0.13069327,-0.08961501,0.09461413,0.09415869,0.085609086,0.19906838,-0.088358894,-0.05745971,-0.08557903,-0.014933027,0.00536095,-0.09569252,-0.096987456,-8.578482e-05,-0.1316246,0.09262857,-0.088177405,-0.122613445,-0.059537258,0.23016925,-0.06859259,0.054898802,0.06729194,-0.07866892,-0.14786407,-0.021871984,0.09954124,-0.14432858,0.02437043,0.068057485,-0.08836846,0.024163598,0.09101857,-0.05166719,0.027810246,-0.12365717,-0.037496686,0.07575676,0.116697885,0.008639177,-0.16468434,-0.010666661,-0.20183809,-0.123406164,0.052639972,-0.06191598,0.12223241,0.027100446,0.022107353,0.0818437,-0.09852243,0.06161554,0.14353818,-0.045774247,-0.1635864,-0.08846917,-0.14389704,-0.043421045,0.0672623,0.011820501,0.08168907,0.05732341,-0.06881965,-0.11542353,0.06970919,0.11146137,-0.048130095,0.036057204,0.03602681,0.0782429,-0.046033576,0.1049961,0.026852302,-0.065832384,0.059888296,-0.11056853,0.030185487,-0.11890905,0.12288051,-0.028303586,0.00028139632,-0.015573703,0.052353617,0.040936198,0.124801084,-0.13910712,0.013971217,-0.047331966,0.055176847,-0.014028156,0.07293844,0.06702232,0.0051810686
turtle,-0.06353754,0.08591433,-0.08453347,-0.017802363,0.1120549,-0.03976452,-0.12526196,-0.011964402,0.035813674,0.027998187,0.057493895,0.09504124,-0.05802338,-0.057199016,-0.06421116,0.03270918,-0.018753106,0.011542045,0.027668893,-0.004497923,-0.12329098,0.015644498,0.066564076,0.0034543113,-0.042085342,-0.018787343,0.015524548,0.042741444,0.1022485,0.028844623,-0.048944093,0.111749835,-0.086529024,0.043745406,0.055643063,0.11900309,-0.0906975,-0.16084237,-0.018360814,0.027120713,-0.044199724,-0.013313833,0.17670248,-0.14755183,-0.011025303,-0.032636028,0.005842708,-0.121546775,-0.080760024,-0.009710881,0.09344609,0.27136263,-0.08576583,0.017407387,0.045965105,-0.13381995,-0.009251816,0.00903284,-0.023771722,0.08062684,0.09017536,-0.12305352,0.2160514,-0.047809467,0.024291188,-0.04992217,0.05607194,-0.011162087,0.024174456,-0.013875634,0.06511555,0.02031693,0.085683554,0.10440794,0.0005574641,-0.015436722,0.044247735,0.09222503,0.036987662,-0.0886171,0.030535424,-0.032209497,-0.1139372,0.014087537,-0.056417294,-0.015903493,-0.08011984,-0.024562873,0.01803709,0.044487756,0.06318658,0.03873742,-0.07152948,-0.08970168,-0.019887626,0.038486667,-0.028385786,-0.008477592,0.068300314,-0.046388533
well,-0.11536745,0.21563761,0.09401615,0.099533334,-0.10933574,-0.03363151,-0.063740514,-0.0786869,-0.040396363,0.05842915,0.08316493,0.06813136,0.0035398344,-0.03205758,0.025171781,-0.014443641,-0.14042164,-0.0057724626,0.0015556035,-0.016280929,-0.1575438,-0.1625992,0.036686487,0.033931237,-0.026656937,-0.08893816,0.17274311,0.0037057619,-0.024119822,0.050393283,-0.087569766,0.07601501,-0.083024904,-0.04392014,0.047918808,-0.0025350947,0.035407897,0.26701146,0.11458143,0.07794327,-0.08638386,-0.05551357,-0.11721509,-0.2017514,-0.052003387,0.032338113,0.056141995,-0.15866776,0.047559895,-0.0356754,-0.050278667,-0.019248597,-0.042639956,0.01102614,0.15025437,-0.022140514,-0.038617495,-0.08200862,-0.05071855,-0.07071326,-0.10721589,0.14098051,-0.17205511,0.033924043,-0.019778311,-0.032991618,0.047180876,-0.029542783,0.055997904,-0.0069539994,0.018745659,-0.0091964295,0.038004518,-0.060990743,0.021702703,0.032213517,0.03703714,-0.054269858,0.0075334175,0.087996356,0.02889157,-0.17102437,0.01676932,-0.07678673,0.0348308,0.09123498,0.007838111,0.010376536,0.021151084,0.0072887614,0.025393479,-0.049512792,-0.080194585,0.06946235,0.07714449,-0.09743044,-0.041887175,0.007192087,0.13653204,-0.069311626
king,-0.009231442,-0.08600618,-0.09609163,0.028350323,0.10544768,-0.08893984,-0.06258775,-0.06800146,-0.015747841,0.05019796,-0.010319573,0.010870117,-0.12774214,-0.011403463,-0.02499548,0.073083796,-0.019306563,-0.049950488,-0.06514404,-0.03138337,0.05210708,-0.036711074,0.0404406,-0.022241257,-0.054569524,-0.078520246,-0.098017864,0.0097917,0.11682783,-0.061168678,-0.06565186,-0.0058190315,0.0012755512,0.026965583,0.025036367,0.02710119,0.061511733,0.17172457,0.04189668,0.0779075,0.035839904,-0.086901516,0.016059054,-0.05542583,0.06292424,0.00246448,0.017322011,-0.09126261,0.066327244,0.0383801,-0.09663035,0.06401917,0.01044968,-0.02309144,-0.050014213,-0.032302164,0.03612477,-0.073010005,-0.036322378,0.026862122,-0.012191421,0.014845148,0.0032012076,0.036497373,0.00094229716,0.081468955,0.043656617,0.013898234,-0.0005782704,-0.045491476,-0.0039771856,0.00093680754,0.06622527,-0.07098466,0.02542844,-0.0029637697,-0.112997025,-0.023793656,0.06642112,-0.0807189,0.042679857,-0.03527915,-0.06375527,0.029708814,0.073906176,0.084239125,-0.06255691,-0.035117052,0.028294094,0.0814434,0.06072472,0.05192265,-0.024104245,-0.060516298,-0.11314995,0.059417948,-0.0069032502,0.09006127,-0.11772418,-0.06284472
began,0.08371158,-0.0026628203,0.029915482,0.116312176,0.024533635,-0.020921389,-0.10253279,0.05649735,-0.06645591,0.057882164,-0.0485291,-0.0036446464,-0.19638664,-0.16562587,-0.016026799,-0.12465441,-0.019877233,0.09948958,0.044634517,0.014088454,-0.033428445,0.022742057,-0.23621924,-0.112675205,-0.03378108,0.09804048,-0.09443431,0.03176847,-0.013177433,0.048237424,-0.016699258,-0.17621009,-0.07307543,-0.04530566,0.12557033,0.022830065,0.095621996,0.07309974,-0.14849158,0.061989836,0.032713473,0.104586594,0.0051355213,0.17808262,0.15616043,0.09692924,0.043127794,0.16962245,0.1713275,-0.03647279,-0.06452857,0.14237021,0.1313372,0.022065893,-0.018881002,0.069240876,-0.07838992,0.082713604,0.03596698,0.016020324,0.036570057,-0.119619094,-0.06488653,0.03607898,-0.05043765,0.0050904346,-0.00840303,0.007472356,-0.15851817,-0.019925142,0.0922976,0.092989504,-0.050495766,-0.11255194,0.10202371,0.012333499,-0.0669163,-0.11497429,-0.061191402,-0.081234604,-0.05591317,-0.06257174,0.010971392,0.0044964543,-0.100082554,0.080705255,0.06253131,-0.08112369,0.052667245,-0.008440133,0.019184317,0.0833684,-0.014290129,-0.07228223,-0.03419931,0.05563098,-0.14947677,-0.0037796726,0.18779942,-0.15460235
mock,-0.007986092,-0.13083313,-0.10771883,-0.013633856,0.10285401,0.050517835,-0.07365899,0.034007996,0.0039068297,0.15655789,-0.054661985,0.012761565,-0.18078002,0.044277355,0.034823474,-0.0064502703,-0.06394895,-0.0072104298,0.07967654,-0.058367074,-0.028824434,-0.029816369,0.040574502,-0.0062947175,-0.07500043,-0.034758784,0.02136956,-0.05965496,0.06613819,-0.027545512,0.012590018,0.09049906,-0.053695407,0.06344458,-0.02343145,0.11411018,-0.029620696,0.01765736,0.02107861,-0.03832481,-0.016307948,-0.014017171,0.18709683,-0.12131787,0.045055307,0.052377306,0.027418518,0.0069042025,0.052311134,0.0059433514,0.16183077,0.2751838,-0.033676118,-0.04940558,0.017298331,-0.025736133,-0.036211595,-0.029059267,-0.108405106,0.03332876,-0.017319243,-0.058170505,-0.05876504,0.007538883,-0.014377493,-0.023793098,0.0073739863,0.04819186,0.028618233,0.00044636556,0.052835766,0.038235284,0.020399285,-0.036263347,-0.06741763,-0.02013346,0.0016564748,0.016752474,0.09845618,-0.007949542,0.11491575,0.00091146864,-0.09861624,-0.0006956757,0.037173584,0.06120292,-0.032936946,-0.011959906,0.028127471,0.064077705,-0.07093749,0.07537904,-0.10471792,-0.022065153,0.013038686,0.011685041,0.054319743,0.026682127,0.11051024,-0.09985899
quite,0.046996035,-0.04604299,-0.00024359848,-0.035831574,0.17386925,0.06244246,0.06014916,0.055979893,0.04834151,-0.00046691846,-0.14167754,-0.05635606,0.19556914,-0.071953356,0.02015462,-0.028442306,0.034481138,-0.10339877,0.0647581,-0.022583302,-0.11619436,-0.073061496,0.1134571,-0.050956223,-0.15181546,-0.030852787,-0.009315054,-0.051269647,-0.0009699819,0.019820321,-0.030447371,0.013186632,-0.030696483,-0.025291646,0.086404294,0.11464693,0.0040615536,0.13654552,-0.057148583,0.017523848,-0.081600815,-0.017919546,0.006045436,0.288408,0.10496757,0.07026795,-0.02996321,0.03527225,0.10651995,0.036678284,-0.018433945,0.070953004,0.08105124,0.040385194,0.14617401,-0.10015026,-0.1077506,-0.02477787,0.03415785,-0.01155577,0.00251685,-0.03965039,0.12212021,0.12537935,-0.0206475,-0.11697441,0.004536994,-0.06578231,-0.005239919,-0.13014507,-0.012235506,0.09117403,-0.04420468,0.04493461,-0.0287776,0.0634958,-0.08541669,-0.097809635,-0.05363578,0.04486628,0.06851458,0.013243143,-0.06119861,-0.0010658833,-0.1482997,0.13153644,0.14617537,0.10209921,0.021965884,0.018502472,0.020796767,0.040071275,-0.05573588,0.2527268,-0.030671641,0.0513986,0.08655108,0.026549295,0.089249514,0.033137675
way,-0.115637675,-0.13462448,0.14099663,0.1308242,0.097233064,0.12499028,0.025575276,-0.019537354,0.051901065,0.047110543,0.09019402,0.03230119,0.22667065,0.10364094,-0.025303284,-0.07143116,-0.08853227,-0.07227388,0.06276253,-0.060678914,-0.04184323,0.05376539,-0.035159677,0.037623625,-0.01039355,0.050060064,-0.0637475,0.036711555,0.04287151,0.0030657933,-0.016225139,0.14744604,-0.118165284,-0.02663492,-0.11796979,-0.021047236,0.052679855,0.12127011,0.010774277,0.105204865,-0.06214187,-0.087156236,-0.027705686,0.08588769,0.025473127,0.058563825,0.074796386,-0.054248933,0.10673467,-0.09012063,-0.06194376,-0.048377536,-0.20767789,0.023863807,-0.14089929,0.1098051,-0.12309573,-0.029679988,-0.024391808,0.068799585,0.041399527,0.003689777,-0.16951178,0.08517087,-0.09114408,-0.030898942,0.061543122,0.068280876,0.062254258,-0.1741371,-0.020339556,0.036923695,0.008296327,-0.052381314,0.05387247,-0.017432915,0.0024583456,-0.013857748,-0.13021736,-0.10464083,-0.027656848,-0.07311917,-0.03774226,0.06386915,-0.18709505,0.055172935,0.007388388,-0.11885937,0.07385786,0.05821793,0.0288245,0.12255838,0.06459704,-0.013148944,0.072080374,0.0017244995,0.04125862,-0.013656553,0.12742846,-0.04366565
